name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Dog Park 180816309,-33.7407588,151.2149829,AU,Australia,180816309,way,OpenStreetMap
Dog Off Leash Area,-33.7964975,151.1354134,AU,Australia,186985384,way,OpenStreetMap
Rinaldo Park,-32.0852764,115.812173,AU,Australia,203187709,way,OpenStreetMap
Off Leash Dog Area,-33.9304766,150.9739412,AU,Australia,206359102,way,OpenStreetMap
Inner South Dog Park,-35.2990695,149.094216,AU,Australia,206820824,way,OpenStreetMap
Dog Park 207539206,-33.7184405,151.0692363,AU,Australia,207539206,way,OpenStreetMap
Proud Park,-34.1781778,150.9994605,AU,Australia,210056276,way,OpenStreetMap
Mount Martha Community Forest,-38.2719288,145.0359758,AU,Australia,215153908,way,OpenStreetMap
Tuggerah Oval,-33.314891,151.4289335,AU,Australia,219101476,way,OpenStreetMap
Recreation Hall Reserve,-37.8094255,145.0306439,AU,Australia,220567995,way,OpenStreetMap
