name,latitude,longitude,city,country,data_source,osm_id
Dog Park 6096703508,25.8136493,-80.1939572,Miami,USA,OpenStreetMap,6096703508
Dog Park 237435648,25.7851416,-80.138245,Miami,USA,OpenStreetMap,237435648
Dog park (large dogs),25.7344917,-80.2270863,Miami,USA,OpenStreetMap,356970240
Dog Park (small dogs),25.7343811,-80.2273642,Miami,USA,OpenStreetMap,356970263
Dog Park 405180512,25.762297,-80.2599674,Miami,USA,OpenStreetMap,405180512
Dog Park 494862696,25.7625405,-80.2575761,Miami,USA,OpenStreetMap,494862696
Dog Park 625369088,25.7942771,-80.1861104,Miami,USA,OpenStreetMap,625369088
Dog Park 728061328,25.6948945,-80.1636318,Miami,USA,OpenStreetMap,728061328
Riverfront Dog Park,25.7692804,-80.1958339,Miami,USA,OpenStreetMap,1161209788
Bayfront Park DEog Park,25.7731582,-80.1853445,Miami,USA,OpenStreetMap,1161844915
Maurice A Ferre Dog Park,25.7836017,-80.1874448,Miami,USA,OpenStreetMap,1161845310
Dog Park 1180302689,25.7769776,-80.1414393,Miami,USA,OpenStreetMap,1180302689
Dog Park 1441864636,25.8018531,-80.1306809,Miami,USA,OpenStreetMap,1441864636
Denver Beer Co.,39.7582067,-105.007355,Denver,USA,OpenStreetMap,12485207224
Fuller Dog Park,39.757626,-104.9677326,Denver,USA,OpenStreetMap,278146736
Dog Park 311776908,39.7585874,-104.9880488,Denver,USA,OpenStreetMap,311776908
Benedict Park Place Dog Park,39.7501933,-104.9785337,Denver,USA,OpenStreetMap,326333215
Dog Park 334273577,39.7262245,-105.0291093,Denver,USA,OpenStreetMap,334273577
Berkeley Dog Park,39.7823033,-105.0525101,Denver,USA,OpenStreetMap,417755943
Dog Park 450912293,39.7492504,-104.9943105,Denver,USA,OpenStreetMap,450912293
Dog Park 554206781,39.7564317,-105.0209062,Denver,USA,OpenStreetMap,554206781
Northwest Greenbelt Off-Leash Dog Park,39.6694692,-105.0133754,Denver,USA,OpenStreetMap,617485848
Carla Madison Dog Park,39.7413472,-104.9587879,Denver,USA,OpenStreetMap,663900710
Dog Park 667796017,39.6986446,-104.9275458,Denver,USA,OpenStreetMap,667796017
